"Item Name
",Short Name,Knight,Warrior,Paladin,Assassin,Rogue,Trickster,Archer,Huntress,Mystic,Wizard,Necromancer,Ninja,Samurai,Priest,Sorcerer,Bard,Summoner
Defense Maxed,Def Max,10,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Attack Maxed,Att Max,2,9,3,8,6,8,9,9,6,9,9,7,9,5,8,5,4
Dexterity Maxed,Dex Max,6,6,5,9,9,9,5,5,7,9,5,8,6,4,8,8,9
Vitality Maxed,Vit Max,10,10,6,5,5,5,5,5,5,5,3,6,6,6,10,5,6
Speed Maxed,Spd Max,7,7,7,9,9,9,5,5,8,6,6,8,6,4,6,6,7
Wisdom Maxed,Wis Max,6,6,10,6,6,8,6,6,9,8,9,8,6,9,5,9,9
Life Maxed,Life Max,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mana Maxed,Mana Max,9,9,9,9,9,9,9,9,12,12,12,9,9,12,12,12,12
Colossus Shield,Colo Shield,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acropolis Armor,Acrop,5,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Shield of Flowing Clarity,,35,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Shield of Ogmur,Ogmur,50,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Spiteful Scutum,Scutum,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Oryx's Greatsword,Oryxs Greatsword,25,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Champion's Bastion,,25,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mercy's Bane,Mercy,25,20,20,15,15,15,15,15,15,15,15,15,20,15,15,15,15
Bloodstone Ring,,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Sword of Splendor,Splendor,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Crystal Sword,Csword,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ancient Stone Sword,ASS,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Demon Blade,Dblade,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Pirate King's Cutlass,Cutlass,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Sword of the Colossus,Colo Sword,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Pixie-Enchanted Sword,Pixie,20,20,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Indomptable,Indomptable,15,20,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Doctor Swordsworth,,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Dominion Armor,Dominion,15,15,15,10,10,10,10,10,10,10,10,10,15,10,10,10,10
Candy-Coated Armor,CC Armor,15,15,15,10,10,10,10,10,10,10,10,10,15,10,10,10,10
Fire Dragon Battle Armor,,20,20,20,15,15,15,15,15,15,15,15,15,20,15,15,15,15
Resurrected Warrior's Armor,Resu,20,20,20,15,15,15,15,15,15,15,15,15,20,15,15,15,15
Breastplate of New Life,Bplate,30,30,30,25,25,25,25,25,25,25,25,25,30,25,25,25,25
Fairy Plate,Fplate,15,15,20,10,10,10,10,10,10,10,10,10,15,10,10,10,10
Zaarvox's Heart,Zaavoxs Heart,15,20,15,10,10,10,10,10,10,10,10,10,15,10,10,10,10
Kamishimo,,20,20,20,15,15,15,15,15,15,15,15,15,25,15,15,15,15
Ring of Unbound Health,UBHP,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Ring of Unbound Attack,UBATT,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ring of Unbound Dexterity,UBDEX,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ring of Unbound Defense,UBDEF,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
